wrkare,wh_id,prithr,hmemaxprithr,maxprithr,voc_cod,dist_thresh,moddte,mod_usr_id
"WA-1-001","2",50,55,20,0,0.0,"20210412000000","938673"
"WA-2-001","2",50,90,20,0,0.0,"20210412000000","938673"
"WA-2-002","2",50,90,20,0,0.0,"20210412000000","938673"
"WA-2-003","2",50,90,20,0,0.0,"20210826100000","939161"
"WA-2-004","2",50,90,20,0,0.0,"20210826100000","939161"
"WA-2-005","2",50,90,20,0,0.0,"20220210100755","940788"
"WA-2-006","2",50,90,20,0,0.0,"20220210100813","940788"
"WA-2-007","2",50,90,20,0,0.0,"20220210100846","940788"
"WA-2-008","2",50,90,20,0,0.0,"20220721125849","939370"
"WA-2-009","2",50,90,20,0,0.0,"20220721125905","939370"
"WA-2-010","2",50,90,20,0,0.0,"20220126134647","940788"
"WA-2-011","2",50,90,20,0,0.0,"20220209111030","940788"
"WA-2-012","2",50,90,20,0,0.0,"20220510200847","939370"
"WA-2-013","2",50,90,20,0,0.0,"20220510200919","939370"
"WA-2-014","2",50,90,20,0,0.0,"20220510202057","939370"
"WA-2-015","2",50,90,20,0,0.0,"20220510202118","939370"
"WA-2-016","2",50,90,20,0,0.0,"20220510202131","939370"
"WA-2-017","2",50,90,20,0,0.0,"20220601100000","940409"
"WA-2-018","2",50,90,20,0,0.0,"20220601100000","940409"
"WA-2-021","2",50,90,20,0,0.0,"20230309153206","939370"
"WA-2-022","2",50,90,20,0,0.0,"20230207140859","939370"
"WA-2-023","2",50,90,20,0,0.0,"20230207140859","939370"
"WA-3-001","2",50,90,20,0,0.0,"20210412000000","938673"
"WA-3-002","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-003","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-004","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-005","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-006","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-007","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-008","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-009","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-010","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-011","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-012","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-013","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-014","2",50,90,20,0,0.0,"20220725133508","939370"
"WA-3-015","2",50,90,20,0,0.0,"20220725133840","939370"
"WA-3-016","2",50,90,20,0,0.0,"20220802141024","939370"
"WA-3-017","2",50,90,20,0,0.0,"20220802170446","939370"
"WLOGICAL","2",0,0,0,0,0,"20180730083431","938673"
