adr_id,client_id,host_ext_id,adrnam,adrtyp,adrln1,adrln2,adrln3,adrcty,adrstc,adrpsz,ctry_name,rgncod,phnnum,faxnum,attn_name,attn_tel,cont_name,cont_tel,cont_title,rsaflg,temp_flg,po_box_flg,last_name,first_name,honorific,usr_dsp,adr_district,web_adr,email_adr,pagnum,locale_id,pool_flg,pool_rate_serv_nam,ship_phnnum,ship_faxnum,ship_web_adr,ship_email_adr,ship_cont_name,ship_cont_title,ship_cont_tel,ship_attn_name,ship_attn_phnnum,tim_zon_cd,rqst_state_cod,grp_nam,latitude,longitude,gln,cstms_site_typ,cstms_tx_site,uc_adrtyp
"A000000001","","A000000001","Royal FloraHolland (Rijnsburg)","BLDG","LAAN VAN VERHOF 3","","","Rijnsburg","","2231 BZ","","","","","","","","","",0,0,0,"","","","","","","","","US_ENGLISH",0,"","","","","","","","","","","Europe/Berlin","ACCEPTED","","","","8713783479070","","",""
"A000000004","RFH","8713782674322","Starware Test Adr","CST","Einsteinstraat 27","","","Reeuwijk","","2811 EP","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","","","",""
"A000000005","RFH","8713783814999","Starware","CST","Schouwburglaan 18","","","Gouda","","2806 AV","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","","","",""
"A000000006","RFH","8713783816999","Starware","SUP","Schouwburglaan 18","","","Gouda","","2806 AV","NL","","","","","","","","",0,0,0,"","","","","","","rfh@starware.nl","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","","","",""
"A000000007","RFH","8718288999999","8718288999999","CST","Middel Broekweg 29","","","HONSELERSDIJK","","2675 KB","NL","","","","","","","","",0,0,0,"","","","","Buffer Niveau 010","","","","US_ENGLISH",0,"","","","","","","","","","","","ACCEPTED","","","","","","","11"
"A0000001","","8713783479087","Royal FloraHolland (Rijnsburg)","WH","LAAN VAN VERHOF 3","","","Rijnsburg","","2231 BZ","","","","","","","","","",0,0,0,"","","","","","","","","US_ENGLISH",0,"","","","","","","","","","","Europe/Berlin","ACCEPTED","","","","8713783479070","","",""
"CAR_RFH","----","CAR_RFH","Royal FloraHolland (Aalsmeer)","CAR","LEGMEERDIJK 313","","","Aalsmeer","","1431 GB","","","","","","","","","",0,0,0,"","","","","","","","","",0,"","","","","","","","","","","","ACCEPTED","","","","","","",""
"CLI_RFH","RFH","CLI_RFH","Royal FloraHolland (Rijnsburg)","CLI","Laan van Verhof 3","","","Rijnsburg","","2231 BZ","NL","","","","","","","","",0,0,0,"","","","","","","","","US_ENGLISH",0,"","","","","","","","","","","Europe/Berlin","ACCEPTED","","","","","","",""
"CST_4002420001205","RFH","4002420001205","4002420001205","CST","Veilingstrasse A1","","","STRAELEN-HERONGEN","","47638","DE","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","4002420001205","","","1"
"CST_8713782589756","RFH","8713782589756","8713782589756","CST","Tulpenveld 138","","","CASTRICUM","","1901 LC","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782589756","","","6"
"CST_8713782590066","RFH","8713782590066","8713782590066","CST","Turfspoor 1","","","LISSERBROEK","","2165 AW","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782590066","","","6"
"CST_8713782590080","RFH","8713782590080","8713782590080","CST","Turfspoor 2","","","LISSERBROEK","","2165 AX","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782590080","","","6"
"CST_8713782597928","RFH","8713782597928","8713782597928","CST","Turfspoor 57","","","LISSERBROEK","","2165 AW","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782597928","","","6"
"CST_8713782597935","RFH","8713782597935","8713782597935","CST","Turfspoor 83","","","LISSERBROEK","","2165 AW","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782597935","","","6"
"CST_8713782597959","RFH","8713782597959","8713782597959","CST","Turfspoor 115","","","LISSERBROEK","","2165 AW","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782597959","","","6"
"CST_8713782599267","RFH","8713782599267","8713782599267","CST","Tussenweg 2 A","","","VIERPOLDERS","","3237 LS","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599267","","","6"
"CST_8713782599274","RFH","8713782599274","8713782599274","CST","Tweede Kruisweg 2","","","DINTELOORD","","4671 PG","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599274","","","6"
"CST_8713782599298","RFH","8713782599298","8713782599298","CST","Tweede Tochtweg 62","","","NIEUWERKERK AD IJSSEL","","2913 LS","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599298","","","6"
"CST_8713782599458","RFH","8713782599458","8713782599458","CST","Twentseweg 67","","","LEMELERVELD","","8154 HJ","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599458","","","6"
"CST_8713782599465","RFH","8713782599465","8713782599465","CST","Twistweg 6","","","VREDEPEEL","","5816 AE","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599465","","","6"
"CST_8713782599502","RFH","8713782599502","8713782599502","CST","Uilecotenweg 5","","","AMMERZODEN","","5324 JT","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599502","","","6"
"CST_8713782599526","RFH","8713782599526","8713782599526","CST","Uilkerweg 2 B","","","ZUILICHEM","","5305 TD","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599526","","","6"
"CST_8713782599663","RFH","8713782599663","8713782599663","CST","Uiterdijkenweg 44","","","MARKNESSE","","8316 RS","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599663","","","6"
"CST_8713782599748","RFH","8713782599748","8713782599748","CST","Uiterweg 46","","","AALSMEER","","1431 AN","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599748","","","6"
"CST_8713782599892","RFH","8713782599892","8713782599892","CST","Uiterweg 91","","","AALSMEER","","1431 AC","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599892","","","6"
"CST_8713782599908","RFH","8713782599908","8713782599908","CST","Uiterweg 103","","","AALSMEER","","1431 AC","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599908","","","6"
"CST_8713782599915","RFH","8713782599915","8713782599915","CST","Uiterweg 119","","","AALSMEER","","1431 AD","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599915","","","6"
"CST_8713782599939","RFH","8713782599939","8713782599939","CST","Uiterweg 203","","","AALSMEER","","1431 AE","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782599939","","","6"
"CST_8713782636108","RFH","8713782636108","8713782636108","CST","Legmeerdijk 313","","","AALSMEER","","1431 GB","NL","","","","","","","","",0,0,0,"","","","","H.035.71-B","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713782636108","","","2"
"CST_8713783200018","RFH","8713783200018","8713783200018","CST","Geestweg 68","","","ROELOFARENDSVEEN","","2371 AG","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200018","","","6"
"CST_8713783200025","RFH","8713783200025","8713783200025","CST","Toegangseweg 42","","","BOSKOOP","","2771 XM","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200025","","","6"
"CST_8713783200049","RFH","8713783200049","8713783200049","CST","A H Verweijweg 38","","","BERKEL EN RODENRIJS","","2651 LX","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200049","","","6"
"CST_8713783200056","RFH","8713783200056","8713783200056","CST","Rijnlanderweg 1252","","","NIEUW-VENNEP","","2153 KD","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200056","","","6"
"CST_8713783200070","RFH","8713783200070","8713783200070","CST","Bolkshoeksweg 44","","","ALMELO","","7607 TL","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200070","","","6"
"CST_8713783200100","RFH","8713783200100","8713783200100","CST","Molenweg 35","","","MONSTER","","2681 RE","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200100","","","6"
"CST_8713783200186","RFH","8713783200186","8713783200186","CST","Soemeersingel 47","","","HELENAVEEN","","5759 RB","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200186","","","1"
"CST_8713783200230","RFH","8713783200230","8713783200230","CST","Jagtlustkade 6 A","","","SASSENHEIM","","2171 AG","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200230","","","1"
"CST_8713783200247","RFH","8713783200247","8713783200247","CST","Noorddammerweg 85","","","AMSTELVEEN","","1187 ZS","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200247","","","6"
"CST_8713783200285","RFH","8713783200285","8713783200285","CST","Meloenstraat 9","","","PIJNACKER","","2641 NJ","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200285","","","6"
"CST_8713783200339","RFH","8713783200339","8713783200339","CST","Burg den Hollanderweg 11","","","HAZERSWOUDE-DORP","","2391 MC","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200339","","","6"
"CST_8713783200353","RFH","8713783200353","8713783200353","CST","Rijneveld 88","","","BOSKOOP","","2771 XS","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200353","","","6"
"CST_8713783200438","RFH","8713783200438","8713783200438","CST","Spoelwijkerlaan 23","","","BOSKOOP","","2771 NB","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200438","","","6"
"CST_8713783200469","RFH","8713783200469","8713783200469","CST","Reijerskoop 160","","","BOSKOOP","","2771 BT","NL","","","","","","","","",0,0,0,"","","","","","","","","DUTCH_HOLLAND",0,"","","","","","","","","","","","ACCEPTED","","","","8713783200469","","","6"
