doc_typ,seqnum,colnam,colval,colopr,moddte,mod_usr_id
"bolrpt",2,"cartyp","T","","",""
"bolrpt",3,"cartyp","L","","",""
"bolrpt",4,"wh_id","WMD1","","",""
"bolrpt",5,"cstnum","Wal-Mart","","",""
"bolrpt",6,"cstnum","Wal-Mart","","",""
"bolrpt",7,"cstnum","Wal-Mart","","",""
"ctnlbl",1,"wh_id","WMD1","","",""
"ctnlbl",2,"wh_id","WMD1","","",""
"loclbl",1,"wh_id","WMD1","","",""
"pallbl",5,"wh_id","WMD1","=","",""
"pallbl",6,"wh_id","WMD1","=","",""
"palslotrpt",1,"wh_id","WMD1","","",""
"pckslprpt",1,"wh_id","WMD1","","",""
"prtlbl",1,"wh_id","WMD1","","",""
"putostore_ctnlbl",1,"wh_id","WMD1","","",""
"sedrpt",1,"wh_id","WMD1","","",""
"USR-RFH001-FFDELIVER",1,"wh_id","3","=","20180921144501","939370"
"USR-RFH002",1,"wh_id","3","=","20180913102322","RAOUL"
"USR-RFH003",1,"wh_id","3","=","20200302090317","939161"
"USR-RFH007",1,"wh_id","3","=","20210726141735","939370"
