mov_zone_id,mov_zone_cod,wh_id,bldg_id,clr_dstloc_flg,split_trn,lbl_on_split,ovrpck_rpl_flg,cap_fill_flg,def_rplcfg_invsts,def_rplcfg_maxunt,def_rplcfg_minunt,def_rplcfg_pctflg,dyn_slot_flg,recalc_putaway,max_mhu_deposit,dstr_excp_loc,bto_kit_dep_flg,rcv_pltbld_flg,dstr_audit,auto_close_flg,prompt_for_part_distr,rdtflg,dyn_rplcfg_flg,auto_cancel_pick,mix_on_unlock_flg,alloc_max_uom_rpl_flg,autocls_ship_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,qty_ver_only_flg,pre_stage_flg,thresh_split_flg,rpl_split_disp_cas_flg,is_purged
10000,"RDT-B1","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,1,1,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0,0,0,0
10001,"ADJS","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0,0,0,0
10002,"CADJ","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0,0,0,0
10003,"EXPR","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10004,"WEXP","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10005,"SACO","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10006,"SADJ","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10007,"SXFR","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10008,"DKIT","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10009,"DADJ","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10010,"DSPCH","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10011,"SHIP","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10012,"STOTRLR","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10013,"XDDR","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10014,"XDCK","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10015,"WRKS","3","B1",0,0,0,0,0,"",0,0,0,0,0,"","",0,0,1,0,0,0,1,0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10016,"L201-M-01-I","3","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20181212115521","20181217133859","940028","940028",0,0,0,0,0
10018,"L201-M-01-O","3","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20181212115704","20181217134046","940028","940028",0,0,0,0,0
10020,"L134-M-01-I","3","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20190205115314","20190205115314","940028","940028",0,0,0,0,0
10021,"L432-M-01-I","3","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20190205115457","20190205115457","940028","940028",0,0,0,0,0
10022,"L134-M-01-E","3","B1",0,0,0,0,0,"",0,0,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"20190205115653","20190205115653","940028","940028",0,0,0,0,0
