pck_mthd_id,pck_mthd_nam,wh_id,list_flg,ctn_flg,skip_pick_valdt,inline_rpl_flg,rsv_pck_rel,spcfc_cs_flg,mix_cs_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
-50013,"StageTransfers","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
-50012,"StockTransfers","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
-50011,"StockTransfers","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
-50010,"StockTransfers","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
-50009,"CrossDocking-D","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
-50008,"CrossDocking-S","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
-50007,"CrossDocking-L","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102500","20181210102500","SUPER","SUPER"
10000,"PALLETPICK","3",0,0,"DEF_NO_PROMPT",0,0,0,0,"20181210102501","20210712123906","SUPER","939161"
10001,"LISTPICK","3",1,0,"DEF_NO_PROMPT",0,0,0,0,"20181210102501","20210712123910","SUPER","939161"
10002,"Replenishment","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20221213083600","SUPER","938673"
10003,"CartonPick","3",0,1,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
10004,"CasePick","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
10005,"ReplishmentSplitPick","3",0,0,"DEF_DISABLE",0,99,0,0,"20181210102501","20181210102501","SUPER","SUPER"
10006,"PALLETPICK_CC","3",0,0,"DEF_NO_PROMPT",0,0,0,0,"20230309163629","20230310122320","939370","939370"
10007,"PALLETPICK_WO","3",0,0,"DEF_NO_PROMPT",0,0,0,0,"20220419000000","20220419000000","938673","938673"
10008,"LISTPICK_WO","3",0,0,"DEF_NO_PROMPT",0,0,0,0,"20220419000000","20220419000000","938673","938673"
