polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,is_purged
"ALLOCATE-INV","CREATE-ORDER-TO-INV","ORDLIN","----",0,"","",0,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
"ALLOCATE-INV","MATCH-ORDER-TO-INV","ORDLIN","----",0,"","",0,0,0.0,0.0,"20210202173916","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","COMMIT-DURING-ALLOC","----",0,"","",0,0,0.0,0.0,"20210202173823","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","COMMIT-DURING-ALLOC","----",1,"","",1,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","FORCE-FULL-UNTCAS-FOR-PALLET-PICKS","----",1,"","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","FORCE-NULL-CHECK-FOR-UIA","----",0,"","",0,0,0.0,0.0,"20210202173823","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",0,"InventorySelectorBaseInventorySorter","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",1,"InventorySelectorAssetTypeAndLoadAttributes","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",2,"InventorySelectorSearchPathSequence","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",3,"InventorySelectorInventoryDateRotation","",0,0,0.0,0.0,"20190606132747","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",4,"InventorySelectorRestrictedLotStatus","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",5,"InventorySelectorPickBuildingSequence","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",6,"InventorySelectorInventoryStatusProgression","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","INV-SELECTOR-SEQUENCE","----",7,"InventorySelectorMaxCount","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","LOG-FILE-ENABLED","----",1,"","",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",0,"N","SUNDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",1,"Y","MONDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",2,"Y","TUESDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",3,"Y","WEDNESDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",4,"Y","THURSDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",5,"Y","FRIDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","MISCELLANEOUS","PICK-WEEK","----",6,"N","SATURDAY",0,0,0.0,0.0,"20210202173919","NOUSER","dcs_data",0
"ALLOCATE-INV","ORDER-INV","ABS-ORDINV-CODE","----",0,"MIN","",0,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
"ALLOCATE-INV","ORDER-INV","ABS-ORDINV-PREC","----",0,"ord_line,wkodtl,wkohdr,cstprt,cstmst,csttyp_pfl,prtmst,client_wh,policy","",0,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
"ALLOCATE-INV","ORDER-INV","ABS-ORDINV-TYPE","----",0,"LOCATION-ORDER-BY","",0,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
"ALLOCATE-INV","ORDER-INV","ABS-ORDINV-TYPE","3",0,"FIFO-ORDER-BY","",0,0,0.0,0.0,"20220706151453","939370","",0
"ALLOCATE-INV","ORDER-INV","ABS-ORDINV-WIN","----",0,"","",1,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
"ALLOCATE-INV","ORDER-INV","ABS-ORDINV-WIN","3",0,"","",1440,0,0.0,0.0,"20200515132649","938673","dcs_data",0
"ALLOCATE-INV","ORDER-INV","FEFO-ORDER-BY","----",1,"abs(invsum.untqty - @pckqty) asc","",0,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
"ALLOCATE-INV","ORDER-INV","FEFO-ORDER-BY-ABSOLUTE","----",1,"abs(invsum.untqty - @pckqty) asc","",0,0,0.0,0.0,"20210202173918","NOUSER","dcs_data",0
