prtnum,ftpcod,prt_client_id,wh_id,uomcod,uomlvl,len,wid,hgt,grswgt,netwgt,pal_flg,layer_flg,cas_flg,pak_flg,stk_flg,rcv_flg,untqty,ctn_flg,thresh_pct,ctn_dstr_flg,bulk_pck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000011-038-030","580-320-430-CS","RFH","3","CS",1,43.0,32.0,58.0,1.0,1.0,0,0,1,0,0,0,1,1,100.0,0,1,"20210812091243","20210812091243","939161","939161"
"000011-038-030","580-320-430-CS","RFH","3","EA",0,43.0,32.0,58.0,1.0,1.0,0,0,0,0,1,1,1,1,100.0,0,1,"20210812091243","20210812091243","939161","939161"
"000011-038-030","580-320-430-CS","RFH","3","PA",2,131.0,102.0,190.0,1.0,1.0,1,0,0,0,0,0,31,1,30.0,0,1,"20210812091243","20210812091243","939161","939161"
"000011-038-030","DEFAULT","RFH","3","CS",1,1.0,1.0,38.0,0.0,0.0,0,0,1,0,0,0,1,0,100.0,0,1,"20211008105043","20211008105043","SLDOWNLOAD_0","SLDOWNLOAD_0"
"000011-038-030","DEFAULT","RFH","3","EA",0,1.0,1.0,38.0,1.0,1.0,0,0,0,0,1,1,1,0,100.0,0,1,"20211008105043","20211008105043","SLDOWNLOAD_0","SLDOWNLOAD_0"
"000011-038-030","DEFAULT","RFH","3","PA",2,1.0,1.0,38.0,90.0,90.0,1,0,0,0,0,0,999999,0,100.0,0,1,"20211008105043","20211008105043","SLDOWNLOAD_0","SLDOWNLOAD_0"
"DUMMYITEM","DEFAULT","RFH","----","CS",1,10.0,10.0,10.0,1000.0,1000.0,0,0,1,0,0,0,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","----","EA",0,10.0,10.0,10.0,1000.0,1000.0,0,0,0,1,1,1,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","----","PA",2,10.0,10.0,10.0,1000.0,1000.0,1,0,0,0,0,0,999999,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","3","CS",1,10.0,10.0,10.0,1000.0,1000.0,0,0,1,0,0,0,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","3","EA",0,10.0,10.0,10.0,1000.0,1000.0,0,0,0,1,1,1,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","3","PA",2,10.0,10.0,10.0,1000.0,1000.0,1,0,0,0,0,0,999999,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
