esc_seq,oprcod,wh_id_tmpl,ordtyp,ship_date_win,wrk_esc_pri,ins_dt,ins_user_id,moddte,mod_usr_id
"0000001","LPCK","3","----",150,90,"20210308132649","","20210308132649","938673"
"0000002","LPCK","3","31",30,100,"20210308132649","","20210308132649","938673"
"0000003","LPCK","3","----",75,80,"20210308132649","","20210308132649","938673"
"0000004","LPCK","3","34",60,60,"20210308132649","","20210308132649","938673"
"0000005","LPCK","3","34",45,50,"20210308132649","","20210308132649","938673"
"0000006","LPCK","3","----",45,70,"20210308132649","","20210308132649","938673"
"0000016","LPCK","3","----",35,69,"20220216154633","","20220216154633","939370"
"0000017","LPCK","3","----",25,68,"20220216154633","","20220216154633","939370"
"0000018","LPCK","3","----",15,67,"20220216154633","","20220216154633","939370"
"0000019","LPCK","3","----",5,66,"20220216154633","","20220216154633","939370"
"0000020","LPCK","3","----",1,65,"20220216154633","","20220216154633","939370"
"0000010","PALMOV","3","----",35,69,"20220216154403","","20220216154403","939370"
"0000011","PALMOV","3","----",25,68,"20220216154403","","20220216154403","939370"
"0000012","PALMOV","3","----",15,67,"20220216154403","","20220216154403","939370"
"0000013","PALMOV","3","----",5,66,"20220216154403","","20220216154403","939370"
"0000013","PALMOV","3","31",30,91,"20210412171852","","20210412171852","939370"
"0000014","PALMOV","3","----",150,80,"20210412171852","","20210412171852","939370"
"0000015","PALMOV","3","----",1,65,"20220216154440","","20220216154440","939370"
"0000015","PALMOV","3","34",60,50,"20210412171852","","20210412171852","939370"
"0000016","PALMOV","3","----",75,71,"20210412171852","","20210412171852","939370"
"0000017","PALMOV","3","----",45,70,"20210412171852","","20220216154403","939370"
"0000018","PALMOV","3","34",45,40,"20210412171852","","20210412171852","939370"
"0000004","PCK","3","----",35,69,"20220216153927","","20220216153927","939370"
"0000005","PCK","3","----",25,68,"20220216153927","","20220216153927","939370"
"0000006","PCK","3","----",15,67,"20220216153927","","20220216153927","939370"
"0000007","PCK","3","----",5,66,"20220216153927","","20220216153927","939370"
"0000007","PCK","3","31",30,91,"20210308132649","","20210308132649","938673"
"0000008","PCK","3","----",150,80,"20210308132649","","20210308132649","938673"
"0000009","PCK","3","----",1,65,"20220216154230","","20220216154230","939370"
"0000009","PCK","3","34",60,50,"20210308132649","","20210308132649","938673"
"0000010","PCK","3","----",75,71,"20210308132649","","20210308132649","938673"
"0000011","PCK","3","----",45,70,"20210308132649","","20220216153656","939370"
"0000012","PCK","3","34",45,40,"20210308132649","","20210308132649","938673"
