task_id,role_id,name,task_typ,cmd_line,run_dir,log_file,trace_level,restart,auto_start,start_delay,grp_nam
"BATCH_MANAGER","","Batch Task Manager","T","com.redprairie.sal.batch.BatchTaskManager","$LESDIR/log","$LESDIR/log/BatchTaskManager.log","",0,0,0,"sal_data"
"IFDGEN_JDA_CANONICAL","","IFD Generator for Canonical","T","com.redprairie.seamles.applications.IFDSenderRunnerMain -I7 -S CANONICAL","","$LESDIR/log/IFDGEN_CANONICAL.log","",0,0,5,"dcs_data"
"IFDGEN_TM","","IFD Generator for TM","T","com.redprairie.seamles.applications.IFDSenderRunnerMain -I7 -S TM","","$LESDIR/log/IFDGEN_TM.log","",0,0,5,"dcs_data"
"JDA_CANONICAL_JMS_IN","","IFD from JDA Canonical","T","com.redprairie.seamles.applications.InboundAdapterRunnerMain -I 0 -s CANONICAL -R -i 10","","$LESDIR/log/JDA_CANONICAL_JMS_IN.log","",0,0,5,"dcs_data"
"JMS_SERVER","","JMS Server","D",""$JAVA" org.apache.activemq.console.Main start xbean:data/activemq.xml","$LESDIR/log","$LESDIR/log/activemq.log","",0,0,0,"moca_base"
"LABEL_EDITOR","","Label Editor","D","java -cp $CLASSPATH -jar $SALDIR\3rdparty\label-editor.war","$LESDIR/log","$LESDIR/log/LabelEditor.log","",0,0,0,"sal_data"
"MHE_EMULATOR","","MHE System Emulator","T","com.redprairie.seamles.applications.EmulatorSocketRunnerMain -p 4551 -H localhost -r 4550 -x CONFIRM","","","",0,0,0,"dcs_data"
"MHE_IFDG_AGV_OUT","","MHE IFD Sender for AGV_OUT system","T","com.redprairie.seamles.applications.IFDSenderRunnerMain -I11 -S AGV_OUT","","$LESDIR/log/IFDGEN_AGV_OUT.log","",0,0,0,"dcs_data"
"MHE_IFDG_ASRS_OUT","","MHE IFD Sender for ASRS_OUT system","T","com.redprairie.seamles.applications.IFDSenderRunnerMain -I12 -S ASRS_OUT","","$LESDIR/log/IFDGEN_ASRS_OUT.log","",0,0,0,"dcs_data"
"MHE_SOCKET","","MHE-Integrator Inbound Socket Adapter","T","com.redprairie.seamles.applications.InboundSocketAdapterRunnerMain -s WCS_IN","","","",0,0,0,"dcs_data"
