oprcod,wh_id_tmpl,baspri,exptim,escinc,esc_shpdte_flg,esc_shpdte_field,maxescpri,begdaycod,begtim,enddaycod,endtim,use_src_flg,esc_cmd_flg,esc_cmd,rls_cmd,init_sts,force_ack_loc_flg
"AUD","----",5,0,0,0,"",0,"","","","",1,0,"","","PEND",0
"BPCK","----",50,0,0,0,"",0,"","","","",1,0,"","","PEND",0
"CAPCW","----",50,0,0,0,"",0,"","","","",1,0,"","","PEND",0
"CASCNF","----",50,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CASSTG","----",50,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CCPCK","3",91,0,0,0,"",0,"","","","",1,0,"","","PEND",0
"CNT","----",60,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CNTAUD","----",60,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CNTBCK","----",5,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CNTDTL","----",60,0,0,0,"",0,"","","","",1,0,"","","PEND",0
"CNTPCK","----",60,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CNTPHY","----",60,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CNTZERO","----",60,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CPK","----",50,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"CRP","----",55,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"process work escalation for replenishments","","PEND",0
"CTN","----",60,1440,10,0,"",30,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"DSTTRN","----",50,720,5,0,"",20,"","","","",1,0,"","","PEND",0
"DSTTRNCMP","----",50,720,5,0,"",20,"","","","",1,0,"","process distribution complete transfer","PEND",0
"IDN","----",50,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"INBSERV","----",50,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"INVADJ","----",50,0,0,0,"",0,"","","","",1,0,"","","PEND",0
"KPK","----",50,720,5,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"LOD","----",40,360,10,0,"",20,"2","19981023080000","6","19981023190000",1,0,"","","PEND",0
"LPCK","----",5,0,0,0,"",0,"","","","",1,0,"","process work status change for resume list pick","PEND",0
"LPCK","3",80,0,0,1,"late_shpdte",0,"","","","",1,0,"","process work status change for resume list pick","PEND",0
"LPCKORD","----",5,0,0,0,"",0,"","","","",1,0,"","process work status change for resume list pick","PEND",0
