arecod,wh_id,bldg_id,lost_loc,logic_flg,u_version,moddte,mod_usr_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"ADJS","7","B1","",1,1,"20200114141103","SUPER","20200114141103","20200114141103","SUPER","SUPER"
"C001","7","B1","",0,2,"20200226094640","939161","20200209163855","20200226094640","939370","939161"
"C200","7","B1","",0,2,"20200409114920","938673","20200407163817","20200409114920","938673","938673"
"CADJ","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"D001","7","B1","",0,1,"20200226085310","939161","20200226085310","20200226085310","939161","939161"
"D200","7","B1","",0,2,"20200409114934","938673","20200407163803","20200409114934","938673","938673"
"DADJ","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"DKIT","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"DSPCH","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"E001","7","B1","",0,1,"20200226085323","939161","20200226085323","20200226085323","939161","939161"
"E003","7","B1","",0,2,"20200226094652","939161","20200209163855","20200226094652","939370","939161"
"E100","7","B1","",0,2,"20200408155704","939161","20200408155637","20200408155704","939161","939161"
"E200","7","B1","",0,2,"20200409114943","938673","20200407163752","20200409114943","938673","938673"
"EXPR","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"F001","7","B1","",0,1,"20200226085329","939161","20200226085329","20200226085329","939161","939161"
"F002","7","B1","",0,1,"20200226085335","939161","20200226085335","20200226085335","939161","939161"
"F200","7","B1","",0,2,"20200409114954","938673","20200407163740","20200409114954","938673","938673"
"G001","7","B1","",0,2,"20200226094657","939161","20200209163855","20200226094657","939370","939161"
"G200","7","B1","",0,2,"20200409115006","938673","20200407163215","20200409115006","938673","938673"
"H001","7","B1","",0,2,"20200226094700","939161","20200209163855","20200226094700","939370","939161"
"H100","7","B1","",0,1,"20200408155720","939161","20200408155720","20200408155720","939161","939161"
"H200","7","B1","",0,2,"20200409115016","938673","20200407163202","20200409115016","938673","938673"
"J200","7","B1","",0,2,"20200409115024","938673","20200407162635","20200409115024","938673","938673"
"K201","7","B1","",0,2,"20200409115038","938673","20200407162503","20200409115038","938673","938673"
"K202","7","B1","",0,2,"20200409115050","938673","20200407162518","20200409115050","938673","938673"
"K203","7","B1","",0,2,"20200409115100","938673","20200407162530","20200409115100","938673","938673"
"L200","7","B1","",0,2,"20200409115119","938673","20200407161200","20200409115119","938673","938673"
"LOFO","7","B1","LOFO-LOST-001",0,1,"20200209222915","939370","20200209222915","20200209222915","939370","939370"
"M200","7","B1","",0,2,"20200409115134","938673","20200407161057","20200409115134","938673","938673"
"N001","7","B1","",0,2,"20200226094704","939161","20200209163855","20200226094704","939370","939161"
"N201","7","B1","",0,2,"20200409115154","938673","20200407164354","20200409115154","938673","938673"
"N202","7","B1","",0,2,"20200409115201","938673","20200407164405","20200409115201","938673","938673"
"P200","7","B1","",0,2,"20200409115211","938673","20200407162202","20200409115211","938673","938673"
"PD","7","B1","",0,1,"20200224154731","939161","20200224154731","20200224154731","939161","939161"
"PREDEL","7","B1","",0,2,"20200408155823","939161","20200408155812","20200408155823","939161","939161"
"PRESTOPRI","7","B1","",0,1,"20200224154925","939161","20200224154925","20200224154925","939161","939161"
"RDTS000001","7","B1","",1,1,"20200114141103","SUPER","20200114141103","20200114141103","SUPER","SUPER"
"SACO","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"SADJ","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"SHIP","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"STOTRLR","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"SXFR","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"WEXP","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"WRKS","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"XDCK","7","B1","",0,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
"XDDR","7","B1","",1,1,"20200114141104","SUPER","20200114141104","20200114141104","SUPER","SUPER"
