job_id,role_id,name,enabled,type,command,log_file,trace_level,overlap,schedule,start_delay,timer,grp_nam
"ABC-COUNT-GENERATION","","Generates ABC Counts",0,"cron","generate abc counts where cnttyp = 'AC' and release_flag = 1 and daycnt = 1","$LESDIR/log/abc_counts.log","",0,"0 0 12 * * ?",0,0,"dcs_data"
"ABC-COUNT-QUOTA","","Set ABC Count Quota",0,"cron","set abc count quota","$LESDIR/log/abc_estimates.log","",0,"0 0 12 * * ?",0,0,"dcs_data"
"ALLOC-APPT","","Allocates Carrier Moves In Advance Of The Carrier Move Appointment Time",0,"cron","list warehouses | process advanced allocation for appointments where wh_id = @wh_id","$LESDIR/log/alloc_appt.log","",0,"0 0,15,30,45 * * * ?",0,0,"dcs_data"
"ARC-RCVTRKWRKORDR","","Archive Data For Receive Trucks Basis Of Closed Work Order",0,"cron","archive production data where arc_nam = 'RCVTRK-WRKORDER-CLSD'","$LESDIR/log/arc_rcvtrkwrkordr.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"ARC-RECURSCHED","","Archives Production Recurrence Schedule Data",0,"cron","archive production data where arc_nam ='STDPRD-GEODATA'","$LESDIR/log/arc_recursched.log","",0,"0 0 23 * * ?",0,0,"sal_data"
"ARC-SYSAUD","","Archives System Audits",0,"cron","archive production data where arc_nam = 'ARCHIVE_SYS_AUDITS'","$LESDIR/log/arc_sysaud.log","",0,"0 0 23 ? * *",0,0,"sal_data"
"AUTO-ARC-OUTAUD","","Automatically Archive For Outbound Audit",0,"cron","archive production data where arc_nam = 'OUTBOUND-AUDIT-HISTORY'","$LESDIR/log/auto_arcrcvhst.log","",0,"0 0 0 1 6 ?",0,0,"dcs_data"
"AUTO-ARCRCVHST","","Automatically Archive For Receiving History",0,"cron","archive production data where arc_nam = 'RECEIVING-HISTORY'","$LESDIR/log/auto_arcrcvhst.log","",0,"0 0 0 1 6 ?",0,0,"dcs_data"
"AUTO-CLOSE-PARCEL","","Automatically Close Parcel Shipments",0,"timer","process parcel shipment auto load and close","$LESDIR/log/auto_close_parcels.log","",0,"",60,900,"dcs_data"
"BILLING-PURGE","","Billing Transaction purge processing",0,"cron","purge billing transaction where maxpur = '100' and days_old = 14","$LESDIR/log/BillingTransactioPurge.log","",0,"0 0 3 * * ?",0,0,"dcs_data"
"BILLING-STORAGE","","Billing Storage Transactions",0,"cron","create billing storage","","",0,"0 0 3 * * ?",0,0,"dcs_data"
"CALC-PALS","","Calculate Pallets On Hand",0,"cron","calculate pallets on hand","$LESDIR/log/calc_pal_on_hand.log","",0,"0 0 * * * ?",0,0,"sal_data"
"DEFERRED-EXECUTION","","Deferred Execution",0,"timer","execute deferred commands","$LESDIR/log/DeferredExcecution.log","",0,"",0,60,"sal_data"
"DEMAND-RELEASE-HELD-PICKS","","Demand Pick Held Pick Release Manager",0,"timer","job process pia release held picks","$LESDIR/log/demandheldpickrelease.log","",0,"",0,300,"dcs_data"
"DFRD-PRERLS","","Execute Deferred Pre-Release Commands",0,"cron","execute deferred commands where exec_typ = 'PREL'","$LESDIR/log/dfrd_premfst.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"DFRD-RPTS","","Creates Deferred Reports",0,"cron","execute deferred commands where exec_typ='RPT'","$LESDIR/log/dfrd_rpt.log","",0,"0 0,5,10,15,20,25,30,35,40,45,50,55 * * * ?",0,0,"dcs_data"
"DISPATCHED-STANDALONE-TRACTOR","","Archives the data for dispatched stand alone tractors",0,"cron","archive production data where arc_nam = 'DISPATCHED-STANDALONE-TRACTOR'","$LESDIR/log/disp_standalone_tractor.log","",0,"0 0 1 ? * 1",0,0,"dcs_data"
"EMS-ATT-PURGE","","EMS Attachment purge processing",1,"cron","purge ems attachment files where maxpur = '100' and dayold = 14 and logfil = 'purge_ems_attach.log'","$LESDIR/log/EMSAttachPurge.log","",0,"0 0 3 * * ?",0,0,"ems_data"
"EMS-CARCAP","","Warns If Shipment Demand By Carrier Exceeds Threshold",0,"cron","list warehouses | raise ems event for carrier capacity warning","$LESDIR/log/ems_carcap.log","",0,"0 48 1 * * ?",0,0,"dcs_data"
"EMS-DF-OLD","","Raise EMS Event for Deferred Commands that are stale",0,"cron","raise ems event for stale deferred execution","$LESDIR/log/ems_df_old.log","",0,"0 0 * * * ?",0,0,"sal_data"
"EMS-ESCALATE","","EMS Escalation Processing",1,"cron","escalate ems alerts","","",0,"0 10/20 * * * ?",0,0,"ems_data"
"EMS-EXPIRE","","EMS Expiration Processing",1,"cron","expire ems alerts","","",0,"0 0/20 * * * ?",0,0,"ems_data"
"EMS-HEARTBEAT","","EMS Heartbeat Alert",0,"cron","raise ems event for system connection failure where url = "http://put/your/url/here"","","",0,"0 0 * * * ?",0,0,"ems_data"
"EMS-INV-RDT","","EMS Event To Warn About Inventory On RDT When It Powered Off Or Logout",1,"cron","list warehouses | raise ems event for inventory on rdt","$LESDIR/log/ems_inv_rdt.log","",0,"0 0,15,30,45 * * * ?",0,0,"dcs_data"
"EMS-LATE-SHIP","","Raise Late Shipment Events To EMS",1,"cron","list warehouses | raise ems event for late shipments","$LESDIR/log/ems_late_ship.log","",0,"0 20 1,5,9,13,17,21 * * ?",0,0,"dcs_data"
"EMS-LOWINV","","Raise Low Inventory Events To EMS",1,"cron","list warehouses | raise ems event for low inventory","$LESDIR/log/ems_low_inv.log","",0,"0 0 3 * * ?",0,0,"dcs_data"
"EMS-MISS-TRLR-APPT","","EMS Event To Warn About Missed Trailer Appointments",0,"cron","list warehouses | list missed appointments | raise ems event for missed trailer appointment","$LESDIR/log/ems_miss_trlr_appt.log","",0,"0 11,26,41,56 * ? * 2-6",0,0,"dcs_data"
"EMS-MSGCREATOR","","EMS Message Creator",1,"timer","process ems alert delivery","$LESDIR/log/EMSMessageCreator.log","",0,"",0,120,"ems_data"
"EMS-PRONUM","","Raise EMS Event for PRO Number Block",1,"cron","raise ems event for pro number block threshold","$LESDIR/log/ems_pronum.log","",0,"0 0 * * * ?",0,0,"sal_data"
"EMS-PURGE","","EMS Alert Purge Processing",1,"cron","purge ems alert logs where mode = 'A' and dayold = 14 and maxpur = 0","","",0,"0 0 3 * * ?",0,0,"ems_data"
"EMS-SPOOLER","","EMS Alert Spooler",1,"timer","submit ems raised events","","",0,"",0,60,"moca_data"
"EMS-STALL-SHIP","","Raise Stalled Shipment Events To EMS",1,"cron","list warehouses | raise ems event for stalled shipments","$LESDIR/log/ems_stl_ship.log","",0,"0 20 1,5,9,13,17,21 * * ?",0,0,"dcs_data"
"EMS-WHOGENERATOR","","EMS Who Generator",1,"timer","process ems who creation","$LESDIR/log/EMSWhoGenerator.log","",0,"",0,120,"ems_data"
"EMS-WMD-LOWINV","","Processes The EMS Alerts When Inventory Levels For A Part Fall Below The Defined Re-Order Point",0,"cron","list warehouses | raise ems event for low inventory","$LESDIR/log/ems_low_inv.log","",0,"0 30 23 * * ?",0,0,"dcs_data"
"ESC-OUB-WORK-SHIP","","Escalate Outbound Ship Work",0,"timer","list warehouses | process outbound work escalation for shipment date","$LESDIR/log/esc-oub-work-ship.log","",0,"",60,900,"dcs_data"
"ESC-PICK-WORK-SHIP","","Escalate Pick Work",0,"timer","list warehouses | process picking work escalation for shipment date","$LESDIR/log/esc-pick-work-ship.log","",0,"",60,900,"dcs_data"
"ESC-REPLEN-WORK","","Escalate replenishment work",0,"timer","list warehouses | process escalate replen work priority","","",0,"",5,20,"dcs_data"
"ESC-WORK-LOC","","Escalate Late Ship Work",0,"timer","list warehouses | process work escalation for location capacity","$LESDIR/log/esc-work-loc.log","",0,"",60,900,"dcs_data"
"EXECUTE-WORK-ESC","","Execute Work Escalation",0,"timer","list warehouses | process work escalation where wh_id = @wh_id","$LESDIR/log/execute_work_esc.log","",0,"",60,900,"dcs_data"
"EXECUTE-WORK-RLS","","Execute Work Release",0,"timer","list warehouses | process work operation release command","$LESDIR/log/execute_work_release.log","",0,"",30,30,"dcs_data"
"EXPIRE-DB-SESSIONS","","Expire Database Sessions",1,"timer","expire database sessions where max_user_sessions=20000","$LESDIR/log/db_session_expiration.log","",0,"",0,900,"moca_data"
"INT-TRANS-RESEND","","Resend Integration Transactions",0,"timer","raise wm event where eventname = 'reprocessErroredTransactionsEvent'","","",0,"",5,120,"dcs_data"
