stoloc,wh_id,arecod,loccod,locsts,velzon,aisle_id,trvseq,sto_seq,rescod,bay,lvl,locpos,lochgt,loclen,locwid,dck_acc_cod,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,esc_type,esc_thr,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,voc_chkdgt_2,voc_chkdgt_3,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cnt_zone_id,pck_zone_id,sto_zone_id,mov_zone_id,wrk_zone_id,loc_typ_id,of_lvl_unit,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,u_version,ateseq,atedte,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc,rcv_rescod,pal_stck_rst,maxwgt,lvl_typ_id,billing_flg,prtadr,lbl_prtadr,min_lvl_unit,max_lvl_unit,bckfill_loc,bckfill_locvrc,bckfill_voc_chkdgt,bckfill_voc_chkdgt_2,bckfill_voc_chkdgt_3,bckfill_aisle
"C & C box L 401","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804292",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C & C box L 403","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804285",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C & C box L 404","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804278",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C & C box L 405","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804261",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C & C box L 407","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804254",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C & C box L 409","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804247",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C & C box L 411","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804230",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10011,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C-001-40-A","7","C001","P","E","A","40","","999999999999999","","","","A",9.99999999E8,9.99999999E8,9.99999999E8,"","C-001-40-A",9.99999999E8,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200210020859","","","",0,0,0,10005,10079,10001,10019,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,27,9999,"","20200209163909","20200310112452","939370","939161",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C-001-40-B","7","C001","P","P","A","40","","999999999999999","","","","B",9.99999999E8,9.99999999E8,9.99999999E8,"","998",9.99999999E8,1.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20220929160401","","","",0,0,0,10005,10079,10001,10019,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,26,9999,"","20200209163909","20200930103623","939370","939161",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"C-001-40-C","7","C001","P","E","A","40","","999999999999999","","","","C",9.99999999E8,9.99999999E8,9.99999999E8,"","C-001-40-C",9.99999999E8,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,10005,10079,10001,10019,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,25,9999,"","20200209163909","20200210012709","939370","939370",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
