pcklst_seq_cri_id,pcklst_rule_id,table_nam,field_name,sort_order,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
1,1,"locmst","trvseq",0,1,"20201103124638","20210407124638","939161","938673"
2,1,"locmst","stoloc",0,2,"20201103124638","20210407124638","939161","938673"
3,3,"locmst","trvseq",0,1,"20201103125041","20210407124638","939161","938673"
4,3,"locmst","stoloc",0,2,"20201103125041","20210407124638","939161","938673"
5,4,"locmst","trvseq",0,2,"20220121144342","20220121144342","939370","939370"
6,4,"locmst","stoloc",0,3,"20220121144342","20220121144342","939370","939370"
7,5,"locmst","trvseq",0,2,"20220121144442","20220121144442","939370","939370"
8,5,"locmst","stoloc",0,3,"20220121144442","20220121144442","939370","939370"
9,5,"pckwrk_view","list_id",0,1,"20220121153812","20220121153812","939370","939370"
10,6,"locmst","trvseq",0,2,"20230116140614","20230116140614","939370","939370"
11,6,"locmst","stoloc",0,3,"20230116140614","20230116140614","939370","939370"
12,7,"locmst","trvseq",0,2,"20230116140701","20230116140701","939370","939370"
13,7,"locmst","stoloc",0,3,"20230116140701","20230116140701","939370","939370"
14,8,"pckwrk_view","list_id",0,1,"20230116140752","20230116140752","939370","939370"
15,8,"locmst","trvseq",0,2,"20230116140752","20230116140752","939370","939370"
16,8,"locmst","stoloc",0,3,"20230116140752","20230116140752","939370","939370"
17,9,"pckwrk_view","list_id",0,1,"20230116140821","20230116140821","939370","939370"
18,9,"locmst","trvseq",0,2,"20230116140821","20230116140821","939370","939370"
19,9,"locmst","stoloc",0,3,"20230116140821","20230116140821","939370","939370"
20,10,"locmst","trvseq",0,1,"20230116141014","20230116141014","939370","939370"
21,10,"locmst","stoloc",0,2,"20230116141014","20230116141014","939370","939370"
22,11,"locmst","trvseq",0,1,"20230217163746","20230217163746","939370","939370"
23,11,"locmst","stoloc",0,2,"20230217163746","20230217163746","939370","939370"
24,12,"locmst","trvseq",0,1,"20230217164142","20230217164142","939370","939370"
25,12,"locmst","stoloc",0,2,"20230217164142","20230217164142","939370","939370"
26,13,"locmst","trvseq",0,2,"20230217165002","20230217165002","939370","939370"
27,13,"locmst","stoloc",0,3,"20230217165002","20230217165002","939370","939370"
