sto_zone_id,sto_zone_cod,bldg_id,wh_id,conflg,con_pal_flg,fifflg,pckcod,prox_put_cod,rnwl_sto_flg,set_locsts_flg,set_maxqvl_flg,vrt_stck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
10000,"STOTRLR","B1","7",0,0,0,"M","",0,0,0,0,"20200114141104","20200114141104","SUPER","SUPER"
10001,"D001-S-01","B1","7",0,0,0,"M","",0,1,0,0,"20200227084901","20200420113711","939161","938673"
10002,"E001-S-01","B1","7",0,0,0,"M","",0,1,0,0,"20200227084934","20200420113647","939161","938673"
10003,"F001-S-01","B1","7",0,0,0,"M","",0,1,0,0,"20200227084957","20200420113658","939161","938673"
10004,"F002-S-01","B1","7",0,0,0,"M","",0,1,0,0,"20200227085019","20200420113617","939161","938673"
10005,"C001-S-01","B1","7",0,0,0,"M","",0,0,0,0,"20200317154057","20200317154057","939161","939161"
10006,"C001-EV-01","B1","7",0,0,0,"M","",0,0,0,0,"20200209185011","20200227144228","939370","939161"
10007,"E003-EV-01","B1","7",0,0,0,"M","",0,0,0,0,"20200209185011","20200227144235","939370","939161"
10008,"G001-EV-01","B1","7",0,0,0,"M","",0,0,0,0,"20200209185011","20200227144243","939370","939161"
10009,"H001-EV-01","B1","7",0,0,0,"M","",0,0,0,0,"20200209185011","20200227144249","939370","939161"
10010,"N001-EV-01","B1","7",0,0,0,"M","",0,0,0,0,"20200209185011","20200227144257","939370","939161"
10017,"E003-S-01","B1","7",0,0,0,"M","",0,0,0,0,"20200317154715","20200317154715","939161","939161"
10018,"G001-S-01","B1","7",0,0,0,"M","",0,0,0,0,"20200317154742","20200317154742","939161","939161"
10019,"H001-S-01","B1","7",0,0,0,"M","",0,0,0,0,"20200317154806","20200317154806","939161","939161"
10020,"N001-S-01","B1","7",0,0,0,"M","",0,0,0,0,"20200317154837","20200317154837","939161","939161"
