serv_id,wh_id,seqnum,mixed_prt_flg,spec_serv_cod,serv_enaflg,lodlvl,moddte,mod_usr_id,audit_thresh_cost,crncy_code,accum_flg
"CMPL-LBL-DOCS","7",0,0,"",1,"","20200128100004","939370",0.0,"",0
"USR-AUTO-LOAD-SHP","7",2,0,"",0,"","20200128100004","939370",0.0,"",0
"USR-COPY-HOLDNUM","7",6,0,"",1,"","20200209214718","939370",0.0,"",0
"USR-CRT-STOPS-LOADS","7",1,0,"",1,"","20200128100004","939370",0.0,"",0
"USR-PRINT-PACKSLIP","7",2,1,"",1,"L","20200423123009","938673",0.0,"",0
"USR-SEND-ASSET-IF","7",10,0,"",1,"","20200209214718","939370",0.0,"",0
"USR-SEND-HOLD-IF","7",9,0,"",1,"","20200209214718","939370",0.0,"",0
"USR-SEND-LODATT-IF","7",11,0,"",1,"","20200209214718","939370",0.0,"",0
"USR-SEND-RELABEL-IF","7",8,0,"",1,"","20200209214718","939370",0.0,"",0
"USR-SEND-STATUS","7",4,0,"",1,"","20200424205330","938673",0.0,"",0
"USR-VAS_INV_ONLY","7",1,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_LPN_PACK","7",8,1,"",1,"L","20230210000000","938673",0.0,"",0
"USR-VAS_LPN_PICK","7",0,1,"",1,"L","20230210000000","938673",0.0,"",0
"USR-VAS_PACK","7",4,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PACK_CNFRM","7",6,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PICK","7",3,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PICK_CNFRM","7",5,1,"",1,"S","20230210000000","938673",0.0,"",0
