serv_id,wh_id,exitpnt_typ,exitpnt,moddte,mod_usr_id
"CMPL-LBL-DOCS","7","SERVICE-BACKGROUND","INVMOV","20200128100646","939370"
"USR-AUTO-LOAD-SHP","7","SERVICE-BACKGROUND","SHIPSTG","20200128100646","939370"
"USR-COPY-HOLDNUM","7","SERVICE-BACKGROUND","USR-INVHLD-CHG","20200209214810","939370"
"USR-CRT-STOPS-LOADS","7","SERVICE-BACKGROUND","SHIPSTG","20200624151859","940409"
"USR-PRINT-PACKSLIP","7","SERVICE-OUTBOUND","PRE-DEPOSIT","20200420181516","938673"
"USR-SEND-ASSET-IF","7","SERVICE-BACKGROUND","USR-ASSET-CHG","20200209214810","939370"
"USR-SEND-HOLD-IF","7","SERVICE-BACKGROUND","USR-INVHLD-CHG","20200209214810","939370"
"USR-SEND-LODATT-IF","7","SERVICE-BACKGROUND","USR-LODATT-CHG","20200209214810","939370"
"USR-SEND-RELABEL-IF","7","SERVICE-BACKGROUND","USR-RELABEL","20200209214810","939370"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV","20200424201157","938673"
"USR-VAS_INV_ONLY","7","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-VAS_LPN_PACK","7","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210000000","938673"
"USR-VAS_LPN_PICK","7","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210000000","938673"
"USR-VAS_PACK","7","SERVICE-OUTBOUND","PKOCLOSE","20230210000000","938673"
"USR-VAS_PACK_CNFRM","7","SERVICE-OUTBOUND","PKOCLOSE","20230210000000","938673"
"USR-VAS_PICK","7","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-VAS_PICK_CNFRM","7","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
