wrk_zone_id,wrkzon,wh_id,bldg_id,wrkare,maxdev,oosflg,trvseq,prithr,maxprithr,pck_exp_are,moddte,mod_usr_id,u_version,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
10000,"99","7","B1","WLOGICAL",0,0,0,0,0,"","20200210012855","939370",2,"20200114141103","20200210012855","SUPER","939370"
10001,"WZ-1-C001","7","B1","WA-1-001",99,0,10,0,0,"","20200227144742","939161",5,"20200210011942","20200227144742","939370","939161"
10002,"WZ-1-E003","7","B1","WA-1-001",99,0,10,0,0,"","20200227144750","939161",5,"20200210011942","20200227144750","939370","939161"
10003,"WZ-1-G001","7","B1","WA-1-001",99,0,10,0,0,"","20200227144757","939161",5,"20200210011942","20200227144757","939370","939161"
10004,"WZ-1-H001","7","B1","WA-1-001",99,0,10,0,0,"","20200227144804","939161",5,"20200210011942","20200227144804","939370","939161"
10005,"WZ-1-N001","7","B1","WA-1-001",99,0,10,0,0,"","20200227144810","939161",5,"20200210011942","20200227144810","939370","939161"
10006,"WZ-2-D001","7","B1","WA-2-001",99,0,10,15,30,"","20200428153957","938673",7,"20200226091159","20200428153957","939161","938673"
10008,"WZ-2-E001","7","B1","WA-2-002",99,0,10,15,30,"","20200428154011","938673",5,"20200226093531","20200428154011","939161","938673"
10009,"WZ-2-F001","7","B1","WA-2-004",99,0,10,15,30,"","20210608150009","939161",7,"20210608150009","20200428154025","939161","939161"
10010,"WZ-2-F002","7","B1","WA-2-003",99,0,10,15,30,"","20210608150009","939161",7,"20210608150009","20200623083736","939161","939161"
10011,"WZ-4-X001","7","B1","WA-4-001",99,0,10,0,0,"","20200407171629","938673",1,"20200407171629","20200407171629","938673","938673"
10012,"WZ-4-X002","7","B1","WA-4-001",99,0,10,0,0,"","20200407171753","938673",2,"20200407171738","20200407171753","938673","938673"
10013,"WZ-3-X001","7","B1","WA-3-001",99,0,10,0,0,"","20200420165719","938673",3,"20200420162455","20200420165719","938673","938673"
